 36,  0 | TrAcc: 0.6493, TrLoss:  1.09801, VaAcc: 0.4448, VaLoss:  2.17131
 37,  0 | TrAcc: 0.6527, TrLoss:  1.10507, VaAcc: 0.4396, VaLoss:  2.21443
 38,  0 | TrAcc: 0.6525, TrLoss:  1.08713, VaAcc: 0.4519, VaLoss:  2.17721
 39,  0 | TrAcc: 0.6642, TrLoss:  1.06428, VaAcc: 0.4392, VaLoss:  2.20830
 40,  0 | TrAcc: 0.6550, TrLoss:  1.08599, VaAcc: 0.4552, VaLoss:  2.19674
 41,  0 | TrAcc: 0.6529, TrLoss:  1.09021, VaAcc: 0.4539, VaLoss:  2.20210
 42,  0 | TrAcc: 0.6669, TrLoss:  1.05675, VaAcc: 0.4506, VaLoss:  2.21166
 43,  0 | TrAcc: 0.6648, TrLoss:  1.05222, VaAcc: 0.4491, VaLoss:  2.21522
 44,  0 | TrAcc: 0.6653, TrLoss:  1.05130, VaAcc: 0.4390, VaLoss:  2.21324
 45,  0 | TrAcc: 0.6560, TrLoss:  1.08131, VaAcc: 0.4409, VaLoss:  2.22107
 46,  0 | TrAcc: 0.6658, TrLoss:  1.03688, VaAcc: 0.4433, VaLoss:  2.20847
 47,  0 | TrAcc: 0.6654, TrLoss:  1.05006, VaAcc: 0.4422, VaLoss:  2.20976
 48,  0 | TrAcc: 0.6657, TrLoss:  1.04316, VaAcc: 0.4388, VaLoss:  2.23074
 49,  0 | TrAcc: 0.6680, TrLoss:  1.03577, VaAcc: 0.4450, VaLoss:  2.23373
 50,  0 | TrAcc: 0.6739, TrLoss:  1.02393, VaAcc: 0.4373, VaLoss:  2.24020
 51,  0 | TrAcc: 0.6873, TrLoss:  0.98881, VaAcc: 0.4457, VaLoss:  2.22180
 52,  0 | TrAcc: 0.6755, TrLoss:  1.01038, VaAcc: 0.4429, VaLoss:  2.22041
 53,  0 | TrAcc: 0.6796, TrLoss:  1.01719, VaAcc: 0.4519, VaLoss:  2.24767
 54,  0 | TrAcc: 0.6772, TrLoss:  1.00594, VaAcc: 0.4437, VaLoss:  2.23986
 55,  0 | TrAcc: 0.6760, TrLoss:  1.01623, VaAcc: 0.4420, VaLoss:  2.24915
 56,  0 | TrAcc: 0.6775, TrLoss:  1.01989, VaAcc: 0.4362, VaLoss:  2.25108
 57,  0 | TrAcc: 0.6753, TrLoss:  1.02335, VaAcc: 0.4459, VaLoss:  2.24300
 58,  0 | TrAcc: 0.6837, TrLoss:  0.98974, VaAcc: 0.4388, VaLoss:  2.25319
 59,  0 | TrAcc: 0.6811, TrLoss:  0.98395, VaAcc: 0.4388, VaLoss:  2.27742
 60,  0 | TrAcc: 0.6823, TrLoss:  0.98580, VaAcc: 0.4465, VaLoss:  2.26225
 61,  0 | TrAcc: 0.6802, TrLoss:  0.99540, VaAcc: 0.4403, VaLoss:  2.25805
 62,  0 | TrAcc: 0.6791, TrLoss:  1.00937, VaAcc: 0.4377, VaLoss:  2.27023
 63,  0 | TrAcc: 0.6750, TrLoss:  1.01492, VaAcc: 0.4280, VaLoss:  2.29044
 64,  0 | TrAcc: 0.6842, TrLoss:  0.98120, VaAcc: 0.4334, VaLoss:  2.28308
