 83,  0 | TrAcc: 0.6995, TrLoss:  0.92954, VaAcc: 0.4254, VaLoss:  2.34368
 84,  0 | TrAcc: 0.7048, TrLoss:  0.92701, VaAcc: 0.4224, VaLoss:  2.33285
 85,  0 | TrAcc: 0.7081, TrLoss:  0.91138, VaAcc: 0.4237, VaLoss:  2.32940
 86,  0 | TrAcc: 0.7029, TrLoss:  0.92892, VaAcc: 0.4291, VaLoss:  2.32878
 87,  0 | TrAcc: 0.7062, TrLoss:  0.91352, VaAcc: 0.4273, VaLoss:  2.32602
 88,  0 | TrAcc: 0.7125, TrLoss:  0.90107, VaAcc: 0.4159, VaLoss:  2.33429
 89,  0 | TrAcc: 0.7120, TrLoss:  0.89215, VaAcc: 0.4278, VaLoss:  2.34097
 90,  0 | TrAcc: 0.7124, TrLoss:  0.89177, VaAcc: 0.4325, VaLoss:  2.33795
 91,  0 | TrAcc: 0.7056, TrLoss:  0.91649, VaAcc: 0.4288, VaLoss:  2.33712
 92,  0 | TrAcc: 0.7118, TrLoss:  0.91530, VaAcc: 0.4163, VaLoss:  2.35542
 93,  0 | TrAcc: 0.7092, TrLoss:  0.90134, VaAcc: 0.4148, VaLoss:  2.35222
 94,  0 | TrAcc: 0.7115, TrLoss:  0.90020, VaAcc: 0.4276, VaLoss:  2.34763
 95,  0 | TrAcc: 0.7068, TrLoss:  0.90799, VaAcc: 0.4161, VaLoss:  2.35645
 96,  0 | TrAcc: 0.7096, TrLoss:  0.90678, VaAcc: 0.4153, VaLoss:  2.35211
 97,  0 | TrAcc: 0.7077, TrLoss:  0.91310, VaAcc: 0.4224, VaLoss:  2.33305
 98,  0 | TrAcc: 0.7087, TrLoss:  0.90633, VaAcc: 0.4194, VaLoss:  2.35384
 99,  0 | TrAcc: 0.7057, TrLoss:  0.91405, VaAcc: 0.4198, VaLoss:  2.35011

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
