 36,  0 | TrAcc: 0.4336, TrLoss:  1.87420, VaAcc: 0.3635, VaLoss:  2.55924
 37,  0 | TrAcc: 0.4365, TrLoss:  1.87500, VaAcc: 0.3517, VaLoss:  2.56004
 38,  0 | TrAcc: 0.4303, TrLoss:  1.88468, VaAcc: 0.3422, VaLoss:  2.58548
 39,  0 | TrAcc: 0.4421, TrLoss:  1.84400, VaAcc: 0.3605, VaLoss:  2.55183
 40,  0 | TrAcc: 0.4266, TrLoss:  1.85387, VaAcc: 0.3530, VaLoss:  2.55367
 41,  0 | TrAcc: 0.4322, TrLoss:  1.84726, VaAcc: 0.3527, VaLoss:  2.56648
 42,  0 | TrAcc: 0.4378, TrLoss:  1.85398, VaAcc: 0.3536, VaLoss:  2.56939
 43,  0 | TrAcc: 0.4389, TrLoss:  1.85605, VaAcc: 0.3512, VaLoss:  2.56931
 44,  0 | TrAcc: 0.4332, TrLoss:  1.86140, VaAcc: 0.3538, VaLoss:  2.57063
 45,  0 | TrAcc: 0.4434, TrLoss:  1.83085, VaAcc: 0.3527, VaLoss:  2.57492
 46,  0 | TrAcc: 0.4390, TrLoss:  1.83620, VaAcc: 0.3639, VaLoss:  2.56005
 47,  0 | TrAcc: 0.4407, TrLoss:  1.85028, VaAcc: 0.3579, VaLoss:  2.57112
 48,  0 | TrAcc: 0.4430, TrLoss:  1.83957, VaAcc: 0.3506, VaLoss:  2.57504
 49,  0 | TrAcc: 0.4442, TrLoss:  1.83824, VaAcc: 0.3506, VaLoss:  2.57293
 50,  0 | TrAcc: 0.4437, TrLoss:  1.85522, VaAcc: 0.3633, VaLoss:  2.56760
 51,  0 | TrAcc: 0.4413, TrLoss:  1.84064, VaAcc: 0.3415, VaLoss:  2.57852
 52,  0 | TrAcc: 0.4381, TrLoss:  1.85012, VaAcc: 0.3538, VaLoss:  2.57490
 53,  0 | TrAcc: 0.4359, TrLoss:  1.86411, VaAcc: 0.3484, VaLoss:  2.58759
 54,  0 | TrAcc: 0.4392, TrLoss:  1.84087, VaAcc: 0.3547, VaLoss:  2.58945
 55,  0 | TrAcc: 0.4362, TrLoss:  1.85122, VaAcc: 0.3536, VaLoss:  2.58664
 56,  0 | TrAcc: 0.4392, TrLoss:  1.84374, VaAcc: 0.3594, VaLoss:  2.58638
 57,  0 | TrAcc: 0.4461, TrLoss:  1.81560, VaAcc: 0.3568, VaLoss:  2.56600
 58,  0 | TrAcc: 0.4504, TrLoss:  1.81863, VaAcc: 0.3590, VaLoss:  2.56596
 59,  0 | TrAcc: 0.4436, TrLoss:  1.83117, VaAcc: 0.3650, VaLoss:  2.57558
 60,  0 | TrAcc: 0.4415, TrLoss:  1.84956, VaAcc: 0.3562, VaLoss:  2.57628
 61,  0 | TrAcc: 0.4446, TrLoss:  1.82942, VaAcc: 0.3523, VaLoss:  2.57765
 62,  0 | TrAcc: 0.4411, TrLoss:  1.85591, VaAcc: 0.3538, VaLoss:  2.59055
