 36,  0 | TrAcc: 0.1828, TrLoss:  2.98069, VaAcc: 0.0789, VaLoss:  3.52390
 37,  0 | TrAcc: 0.1939, TrLoss:  2.95486, VaAcc: 0.0802, VaLoss:  3.51719
 38,  0 | TrAcc: 0.1870, TrLoss:  2.95564, VaAcc: 0.0826, VaLoss:  3.50529
 39,  0 | TrAcc: 0.1895, TrLoss:  2.94984, VaAcc: 0.0791, VaLoss:  3.53266
 40,  0 | TrAcc: 0.1836, TrLoss:  2.97654, VaAcc: 0.0765, VaLoss:  3.53640
 41,  0 | TrAcc: 0.1864, TrLoss:  2.98751, VaAcc: 0.0899, VaLoss:  3.52734
 42,  0 | TrAcc: 0.1853, TrLoss:  2.96284, VaAcc: 0.0916, VaLoss:  3.51726
 43,  0 | TrAcc: 0.1927, TrLoss:  2.95464, VaAcc: 0.0860, VaLoss:  3.51652
 44,  0 | TrAcc: 0.1901, TrLoss:  2.96202, VaAcc: 0.0811, VaLoss:  3.52563
 45,  0 | TrAcc: 0.1846, TrLoss:  2.96481, VaAcc: 0.0806, VaLoss:  3.53400
 46,  0 | TrAcc: 0.1854, TrLoss:  2.98102, VaAcc: 0.0731, VaLoss:  3.55868
 47,  0 | TrAcc: 0.1900, TrLoss:  2.95400, VaAcc: 0.0791, VaLoss:  3.53594
 48,  0 | TrAcc: 0.1871, TrLoss:  2.98310, VaAcc: 0.0774, VaLoss:  3.56609
 49,  0 | TrAcc: 0.1811, TrLoss:  2.98698, VaAcc: 0.0843, VaLoss:  3.54559
 50,  0 | TrAcc: 0.1923, TrLoss:  2.95160, VaAcc: 0.0744, VaLoss:  3.54448
 51,  0 | TrAcc: 0.1907, TrLoss:  2.95497, VaAcc: 0.0742, VaLoss:  3.54707
 52,  0 | TrAcc: 0.1975, TrLoss:  2.94278, VaAcc: 0.0787, VaLoss:  3.53456
 53,  0 | TrAcc: 0.1914, TrLoss:  2.95518, VaAcc: 0.0791, VaLoss:  3.55603
 54,  0 | TrAcc: 0.1901, TrLoss:  2.95003, VaAcc: 0.0681, VaLoss:  3.56235
 55,  0 | TrAcc: 0.1952, TrLoss:  2.95109, VaAcc: 0.0692, VaLoss:  3.56032
 56,  0 | TrAcc: 0.2033, TrLoss:  2.92191, VaAcc: 0.0871, VaLoss:  3.50950
 57,  0 | TrAcc: 0.1970, TrLoss:  2.92550, VaAcc: 0.0748, VaLoss:  3.53066
 58,  0 | TrAcc: 0.1924, TrLoss:  2.93859, VaAcc: 0.0724, VaLoss:  3.53335
 59,  0 | TrAcc: 0.1960, TrLoss:  2.94616, VaAcc: 0.0664, VaLoss:  3.57677
 60,  0 | TrAcc: 0.1999, TrLoss:  2.93024, VaAcc: 0.0604, VaLoss:  3.57402
