 36,  0 | TrAcc: 0.4447, TrLoss:  1.83441, VaAcc: 0.3616, VaLoss:  2.51664
 37,  0 | TrAcc: 0.4496, TrLoss:  1.81878, VaAcc: 0.3711, VaLoss:  2.51106
 38,  0 | TrAcc: 0.4475, TrLoss:  1.82050, VaAcc: 0.3607, VaLoss:  2.49983
 39,  0 | TrAcc: 0.4550, TrLoss:  1.79843, VaAcc: 0.3650, VaLoss:  2.50966
 40,  0 | TrAcc: 0.4551, TrLoss:  1.79871, VaAcc: 0.3754, VaLoss:  2.49468
 41,  0 | TrAcc: 0.4493, TrLoss:  1.81637, VaAcc: 0.3715, VaLoss:  2.51032
 42,  0 | TrAcc: 0.4567, TrLoss:  1.78081, VaAcc: 0.3676, VaLoss:  2.50876
 43,  0 | TrAcc: 0.4495, TrLoss:  1.81230, VaAcc: 0.3674, VaLoss:  2.50783
 44,  0 | TrAcc: 0.4519, TrLoss:  1.80410, VaAcc: 0.3702, VaLoss:  2.50675
 45,  0 | TrAcc: 0.4564, TrLoss:  1.78607, VaAcc: 0.3726, VaLoss:  2.51086
 46,  0 | TrAcc: 0.4546, TrLoss:  1.77667, VaAcc: 0.3696, VaLoss:  2.50021
 47,  0 | TrAcc: 0.4555, TrLoss:  1.78892, VaAcc: 0.3799, VaLoss:  2.50951
 48,  0 | TrAcc: 0.4606, TrLoss:  1.78367, VaAcc: 0.3700, VaLoss:  2.51128
 49,  0 | TrAcc: 0.4623, TrLoss:  1.78177, VaAcc: 0.3620, VaLoss:  2.51777
 50,  0 | TrAcc: 0.4525, TrLoss:  1.79160, VaAcc: 0.3657, VaLoss:  2.52786
 51,  0 | TrAcc: 0.4640, TrLoss:  1.75825, VaAcc: 0.3803, VaLoss:  2.50222
 52,  0 | TrAcc: 0.4614, TrLoss:  1.76502, VaAcc: 0.3801, VaLoss:  2.50291
 53,  0 | TrAcc: 0.4569, TrLoss:  1.78711, VaAcc: 0.3726, VaLoss:  2.50699
 54,  0 | TrAcc: 0.4567, TrLoss:  1.78011, VaAcc: 0.3719, VaLoss:  2.50250
 55,  0 | TrAcc: 0.4573, TrLoss:  1.77540, VaAcc: 0.3784, VaLoss:  2.51450
 56,  0 | TrAcc: 0.4671, TrLoss:  1.74648, VaAcc: 0.3683, VaLoss:  2.50183
 57,  0 | TrAcc: 0.4620, TrLoss:  1.77457, VaAcc: 0.3769, VaLoss:  2.50368
 58,  0 | TrAcc: 0.4581, TrLoss:  1.76586, VaAcc: 0.3825, VaLoss:  2.50735
 59,  0 | TrAcc: 0.4667, TrLoss:  1.74458, VaAcc: 0.3726, VaLoss:  2.50608
 60,  0 | TrAcc: 0.4584, TrLoss:  1.78048, VaAcc: 0.3747, VaLoss:  2.52002
 61,  0 | TrAcc: 0.4575, TrLoss:  1.79926, VaAcc: 0.3700, VaLoss:  2.53125
 62,  0 | TrAcc: 0.4543, TrLoss:  1.76933, VaAcc: 0.3724, VaLoss:  2.51590
 63,  0 | TrAcc: 0.4680, TrLoss:  1.75111, VaAcc: 0.3721, VaLoss:  2.52806
 64,  0 | TrAcc: 0.4574, TrLoss:  1.76926, VaAcc: 0.3790, VaLoss:  2.52798
 65,  0 | TrAcc: 0.4605, TrLoss:  1.76972, VaAcc: 0.3762, VaLoss:  2.52723
 66,  0 | TrAcc: 0.4618, TrLoss:  1.75308, VaAcc: 0.3741, VaLoss:  2.53086
 67,  0 | TrAcc: 0.4610, TrLoss:  1.76621, VaAcc: 0.3741, VaLoss:  2.52976
 68,  0 | TrAcc: 0.4596, TrLoss:  1.77659, VaAcc: 0.3603, VaLoss:  2.53884
 69,  0 | TrAcc: 0.4626, TrLoss:  1.76104, VaAcc: 0.3685, VaLoss:  2.52144
 70,  0 | TrAcc: 0.4571, TrLoss:  1.78497, VaAcc: 0.3657, VaLoss:  2.53643
 71,  0 | TrAcc: 0.4586, TrLoss:  1.77286, VaAcc: 0.3577, VaLoss:  2.54684
 72,  0 | TrAcc: 0.4690, TrLoss:  1.76262, VaAcc: 0.3659, VaLoss:  2.54035
 73,  0 | TrAcc: 0.4658, TrLoss:  1.74862, VaAcc: 0.3657, VaLoss:  2.53276
 74,  0 | TrAcc: 0.4652, TrLoss:  1.75848, VaAcc: 0.3728, VaLoss:  2.52669
 75,  0 | TrAcc: 0.4619, TrLoss:  1.76960, VaAcc: 0.3773, VaLoss:  2.52329
