 66,  0 | TrAcc: 0.7041, TrLoss:  0.93364, VaAcc: 0.4265, VaLoss:  2.31864
 67,  0 | TrAcc: 0.7112, TrLoss:  0.90328, VaAcc: 0.4213, VaLoss:  2.34066
 68,  0 | TrAcc: 0.7096, TrLoss:  0.92312, VaAcc: 0.4237, VaLoss:  2.32535
 69,  0 | TrAcc: 0.7128, TrLoss:  0.90691, VaAcc: 0.4232, VaLoss:  2.32556
 70,  0 | TrAcc: 0.7149, TrLoss:  0.88887, VaAcc: 0.4088, VaLoss:  2.35016
 71,  0 | TrAcc: 0.7099, TrLoss:  0.89957, VaAcc: 0.4254, VaLoss:  2.33360
 72,  0 | TrAcc: 0.7203, TrLoss:  0.88470, VaAcc: 0.4235, VaLoss:  2.34150
 73,  0 | TrAcc: 0.7180, TrLoss:  0.89852, VaAcc: 0.4198, VaLoss:  2.32275
 74,  0 | TrAcc: 0.7190, TrLoss:  0.88210, VaAcc: 0.4269, VaLoss:  2.33290
 75,  0 | TrAcc: 0.7166, TrLoss:  0.88558, VaAcc: 0.4142, VaLoss:  2.34462
 76,  0 | TrAcc: 0.7227, TrLoss:  0.87532, VaAcc: 0.4207, VaLoss:  2.33593
 77,  0 | TrAcc: 0.7295, TrLoss:  0.86494, VaAcc: 0.4148, VaLoss:  2.33632
 78,  0 | TrAcc: 0.7230, TrLoss:  0.87335, VaAcc: 0.4185, VaLoss:  2.34171
 79,  0 | TrAcc: 0.7185, TrLoss:  0.88652, VaAcc: 0.4256, VaLoss:  2.33950
 80,  0 | TrAcc: 0.7219, TrLoss:  0.85741, VaAcc: 0.4254, VaLoss:  2.33231
 81,  0 | TrAcc: 0.7136, TrLoss:  0.90025, VaAcc: 0.4276, VaLoss:  2.33452
 82,  0 | TrAcc: 0.7183, TrLoss:  0.88293, VaAcc: 0.4222, VaLoss:  2.35184
 83,  0 | TrAcc: 0.7228, TrLoss:  0.86307, VaAcc: 0.4138, VaLoss:  2.33886
 84,  0 | TrAcc: 0.7156, TrLoss:  0.90044, VaAcc: 0.4146, VaLoss:  2.34529
 85,  0 | TrAcc: 0.7291, TrLoss:  0.85807, VaAcc: 0.4142, VaLoss:  2.34993
 86,  0 | TrAcc: 0.7308, TrLoss:  0.84596, VaAcc: 0.4129, VaLoss:  2.35293
 87,  0 | TrAcc: 0.7317, TrLoss:  0.84971, VaAcc: 0.4191, VaLoss:  2.36061
 88,  0 | TrAcc: 0.7337, TrLoss:  0.84070, VaAcc: 0.4174, VaLoss:  2.35107
 89,  0 | TrAcc: 0.7209, TrLoss:  0.87437, VaAcc: 0.4146, VaLoss:  2.36521
 90,  0 | TrAcc: 0.7282, TrLoss:  0.85940, VaAcc: 0.4131, VaLoss:  2.37123
 91,  0 | TrAcc: 0.7343, TrLoss:  0.84427, VaAcc: 0.4131, VaLoss:  2.35795
 92,  0 | TrAcc: 0.7303, TrLoss:  0.84326, VaAcc: 0.4090, VaLoss:  2.36721
 93,  0 | TrAcc: 0.7326, TrLoss:  0.85303, VaAcc: 0.4232, VaLoss:  2.36044
 94,  0 | TrAcc: 0.7318, TrLoss:  0.83804, VaAcc: 0.4135, VaLoss:  2.35663
 95,  0 | TrAcc: 0.7313, TrLoss:  0.84733, VaAcc: 0.4191, VaLoss:  2.35910
 96,  0 | TrAcc: 0.7285, TrLoss:  0.84772, VaAcc: 0.4103, VaLoss:  2.37217
 97,  0 | TrAcc: 0.7333, TrLoss:  0.83945, VaAcc: 0.4097, VaLoss:  2.36864
 98,  0 | TrAcc: 0.7310, TrLoss:  0.84170, VaAcc: 0.4107, VaLoss:  2.37065
 99,  0 | TrAcc: 0.7264, TrLoss:  0.86370, VaAcc: 0.4140, VaLoss:  2.36043

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
