 36,  0 | TrAcc: 0.6760, TrLoss:  1.02642, VaAcc: 0.4513, VaLoss:  2.19291
 37,  0 | TrAcc: 0.6745, TrLoss:  1.03630, VaAcc: 0.4420, VaLoss:  2.22316
 38,  0 | TrAcc: 0.6744, TrLoss:  1.02886, VaAcc: 0.4455, VaLoss:  2.19876
 39,  0 | TrAcc: 0.6831, TrLoss:  1.01199, VaAcc: 0.4321, VaLoss:  2.22771
 40,  0 | TrAcc: 0.6797, TrLoss:  1.02316, VaAcc: 0.4364, VaLoss:  2.23324
 41,  0 | TrAcc: 0.6793, TrLoss:  1.00466, VaAcc: 0.4392, VaLoss:  2.22120
 42,  0 | TrAcc: 0.6818, TrLoss:  1.01105, VaAcc: 0.4388, VaLoss:  2.22044
 43,  0 | TrAcc: 0.6895, TrLoss:  0.98862, VaAcc: 0.4467, VaLoss:  2.20802
 44,  0 | TrAcc: 0.6857, TrLoss:  0.99079, VaAcc: 0.4383, VaLoss:  2.22088
 45,  0 | TrAcc: 0.6928, TrLoss:  0.97509, VaAcc: 0.4370, VaLoss:  2.23043
 46,  0 | TrAcc: 0.6929, TrLoss:  0.97355, VaAcc: 0.4276, VaLoss:  2.25330
 47,  0 | TrAcc: 0.6971, TrLoss:  0.96146, VaAcc: 0.4373, VaLoss:  2.23980
 48,  0 | TrAcc: 0.6972, TrLoss:  0.95529, VaAcc: 0.4340, VaLoss:  2.24236
 49,  0 | TrAcc: 0.6944, TrLoss:  0.96464, VaAcc: 0.4314, VaLoss:  2.24152
 50,  0 | TrAcc: 0.6865, TrLoss:  0.99363, VaAcc: 0.4291, VaLoss:  2.26381
 51,  0 | TrAcc: 0.6911, TrLoss:  0.97498, VaAcc: 0.4325, VaLoss:  2.27232
 52,  0 | TrAcc: 0.7005, TrLoss:  0.95447, VaAcc: 0.4228, VaLoss:  2.26088
 53,  0 | TrAcc: 0.7102, TrLoss:  0.91902, VaAcc: 0.4327, VaLoss:  2.25407
 54,  0 | TrAcc: 0.7072, TrLoss:  0.92065, VaAcc: 0.4373, VaLoss:  2.26499
 55,  0 | TrAcc: 0.7047, TrLoss:  0.92128, VaAcc: 0.4345, VaLoss:  2.26384
 56,  0 | TrAcc: 0.7049, TrLoss:  0.93467, VaAcc: 0.4297, VaLoss:  2.26309
 57,  0 | TrAcc: 0.6978, TrLoss:  0.94785, VaAcc: 0.4291, VaLoss:  2.26647
 58,  0 | TrAcc: 0.6997, TrLoss:  0.94767, VaAcc: 0.4207, VaLoss:  2.28858
 59,  0 | TrAcc: 0.7035, TrLoss:  0.92897, VaAcc: 0.4191, VaLoss:  2.28756
 60,  0 | TrAcc: 0.7090, TrLoss:  0.91816, VaAcc: 0.4304, VaLoss:  2.26799
 61,  0 | TrAcc: 0.7135, TrLoss:  0.89851, VaAcc: 0.4260, VaLoss:  2.28934
 62,  0 | TrAcc: 0.7101, TrLoss:  0.90849, VaAcc: 0.4181, VaLoss:  2.29341
 63,  0 | TrAcc: 0.7132, TrLoss:  0.90093, VaAcc: 0.4176, VaLoss:  2.29549
 64,  0 | TrAcc: 0.7132, TrLoss:  0.90995, VaAcc: 0.4260, VaLoss:  2.29305
 65,  0 | TrAcc: 0.6978, TrLoss:  0.93336, VaAcc: 0.4153, VaLoss:  2.31280
 66,  0 | TrAcc: 0.7131, TrLoss:  0.89353, VaAcc: 0.4215, VaLoss:  2.29596
 67,  0 | TrAcc: 0.7093, TrLoss:  0.90155, VaAcc: 0.4276, VaLoss:  2.29826
 68,  0 | TrAcc: 0.7229, TrLoss:  0.87541, VaAcc: 0.4284, VaLoss:  2.29198
 69,  0 | TrAcc: 0.7191, TrLoss:  0.88885, VaAcc: 0.4150, VaLoss:  2.30947
 70,  0 | TrAcc: 0.7249, TrLoss:  0.87474, VaAcc: 0.4295, VaLoss:  2.29347
 71,  0 | TrAcc: 0.7283, TrLoss:  0.86114, VaAcc: 0.4271, VaLoss:  2.30911
 72,  0 | TrAcc: 0.7172, TrLoss:  0.88794, VaAcc: 0.4265, VaLoss:  2.30574
 73,  0 | TrAcc: 0.7168, TrLoss:  0.89638, VaAcc: 0.4219, VaLoss:  2.31601
 74,  0 | TrAcc: 0.7171, TrLoss:  0.88182, VaAcc: 0.4217, VaLoss:  2.31339
 75,  0 | TrAcc: 0.7168, TrLoss:  0.87388, VaAcc: 0.4245, VaLoss:  2.30281
 76,  0 | TrAcc: 0.7253, TrLoss:  0.86986, VaAcc: 0.4226, VaLoss:  2.30341
 77,  0 | TrAcc: 0.7157, TrLoss:  0.89177, VaAcc: 0.4196, VaLoss:  2.31074
 78,  0 | TrAcc: 0.7175, TrLoss:  0.88692, VaAcc: 0.4194, VaLoss:  2.31094
 79,  0 | TrAcc: 0.7284, TrLoss:  0.85338, VaAcc: 0.4163, VaLoss:  2.31251
 80,  0 | TrAcc: 0.7348, TrLoss:  0.83653, VaAcc: 0.4181, VaLoss:  2.31496
 81,  0 | TrAcc: 0.7253, TrLoss:  0.87053, VaAcc: 0.4168, VaLoss:  2.31893
 82,  0 | TrAcc: 0.7216, TrLoss:  0.85787, VaAcc: 0.4142, VaLoss:  2.32594
 83,  0 | TrAcc: 0.7305, TrLoss:  0.84578, VaAcc: 0.4148, VaLoss:  2.32195
 84,  0 | TrAcc: 0.7288, TrLoss:  0.85234, VaAcc: 0.4174, VaLoss:  2.32393
