 36,  0 | TrAcc: 0.4924, TrLoss:  1.64527, VaAcc: 0.3887, VaLoss:  2.43111
 37,  0 | TrAcc: 0.4874, TrLoss:  1.65420, VaAcc: 0.3978, VaLoss:  2.41969
 38,  0 | TrAcc: 0.4853, TrLoss:  1.66771, VaAcc: 0.4004, VaLoss:  2.44003
 39,  0 | TrAcc: 0.4907, TrLoss:  1.64578, VaAcc: 0.4064, VaLoss:  2.42038
 40,  0 | TrAcc: 0.4888, TrLoss:  1.64811, VaAcc: 0.3946, VaLoss:  2.42717
 41,  0 | TrAcc: 0.4913, TrLoss:  1.64064, VaAcc: 0.3890, VaLoss:  2.43141
 42,  0 | TrAcc: 0.4894, TrLoss:  1.63561, VaAcc: 0.3956, VaLoss:  2.42026
 43,  0 | TrAcc: 0.4961, TrLoss:  1.62092, VaAcc: 0.4092, VaLoss:  2.41452
 44,  0 | TrAcc: 0.4925, TrLoss:  1.65167, VaAcc: 0.3922, VaLoss:  2.43723
 45,  0 | TrAcc: 0.4940, TrLoss:  1.63521, VaAcc: 0.3989, VaLoss:  2.43104
 46,  0 | TrAcc: 0.4863, TrLoss:  1.64678, VaAcc: 0.3935, VaLoss:  2.42643
 47,  0 | TrAcc: 0.4910, TrLoss:  1.64429, VaAcc: 0.4053, VaLoss:  2.43157
 48,  0 | TrAcc: 0.4887, TrLoss:  1.63775, VaAcc: 0.4025, VaLoss:  2.42444
 49,  0 | TrAcc: 0.5012, TrLoss:  1.61543, VaAcc: 0.3982, VaLoss:  2.43367
 50,  0 | TrAcc: 0.4946, TrLoss:  1.63227, VaAcc: 0.4013, VaLoss:  2.43292
 51,  0 | TrAcc: 0.4885, TrLoss:  1.65147, VaAcc: 0.4069, VaLoss:  2.44342
 52,  0 | TrAcc: 0.4881, TrLoss:  1.64280, VaAcc: 0.3993, VaLoss:  2.43608
 53,  0 | TrAcc: 0.4922, TrLoss:  1.63071, VaAcc: 0.3993, VaLoss:  2.43411
 54,  0 | TrAcc: 0.4991, TrLoss:  1.60711, VaAcc: 0.4116, VaLoss:  2.42771
 55,  0 | TrAcc: 0.5047, TrLoss:  1.61058, VaAcc: 0.4034, VaLoss:  2.43707
 56,  0 | TrAcc: 0.5006, TrLoss:  1.60910, VaAcc: 0.4058, VaLoss:  2.43552
 57,  0 | TrAcc: 0.4996, TrLoss:  1.61019, VaAcc: 0.3948, VaLoss:  2.42994
 58,  0 | TrAcc: 0.4963, TrLoss:  1.62172, VaAcc: 0.3984, VaLoss:  2.44119
 59,  0 | TrAcc: 0.5004, TrLoss:  1.60031, VaAcc: 0.4056, VaLoss:  2.43282
 60,  0 | TrAcc: 0.5072, TrLoss:  1.59207, VaAcc: 0.4092, VaLoss:  2.42987
 61,  0 | TrAcc: 0.5000, TrLoss:  1.60091, VaAcc: 0.4120, VaLoss:  2.42623
 62,  0 | TrAcc: 0.4975, TrLoss:  1.61336, VaAcc: 0.3974, VaLoss:  2.44431
 63,  0 | TrAcc: 0.4970, TrLoss:  1.61222, VaAcc: 0.3976, VaLoss:  2.44069
 64,  0 | TrAcc: 0.5026, TrLoss:  1.59299, VaAcc: 0.4066, VaLoss:  2.43109
 65,  0 | TrAcc: 0.4972, TrLoss:  1.61685, VaAcc: 0.4038, VaLoss:  2.43249
 66,  0 | TrAcc: 0.5067, TrLoss:  1.58745, VaAcc: 0.3941, VaLoss:  2.44917
 67,  0 | TrAcc: 0.5073, TrLoss:  1.59031, VaAcc: 0.4082, VaLoss:  2.42882
 68,  0 | TrAcc: 0.4999, TrLoss:  1.60998, VaAcc: 0.4073, VaLoss:  2.42979
 69,  0 | TrAcc: 0.5028, TrLoss:  1.59871, VaAcc: 0.4025, VaLoss:  2.44796
