 36,  0 | TrAcc: 0.4353, TrLoss:  1.85320, VaAcc: 0.3379, VaLoss:  2.59157
 37,  0 | TrAcc: 0.4456, TrLoss:  1.82344, VaAcc: 0.3445, VaLoss:  2.56464
 38,  0 | TrAcc: 0.4374, TrLoss:  1.84222, VaAcc: 0.3456, VaLoss:  2.59136
 39,  0 | TrAcc: 0.4443, TrLoss:  1.82434, VaAcc: 0.3519, VaLoss:  2.56999
 40,  0 | TrAcc: 0.4475, TrLoss:  1.80950, VaAcc: 0.3430, VaLoss:  2.57294
 41,  0 | TrAcc: 0.4501, TrLoss:  1.80880, VaAcc: 0.3549, VaLoss:  2.55972
 42,  0 | TrAcc: 0.4378, TrLoss:  1.83232, VaAcc: 0.3415, VaLoss:  2.57575
 43,  0 | TrAcc: 0.4453, TrLoss:  1.81627, VaAcc: 0.3562, VaLoss:  2.55523
 44,  0 | TrAcc: 0.4477, TrLoss:  1.81365, VaAcc: 0.3564, VaLoss:  2.57703
 45,  0 | TrAcc: 0.4515, TrLoss:  1.79179, VaAcc: 0.3594, VaLoss:  2.56083
 46,  0 | TrAcc: 0.4494, TrLoss:  1.79818, VaAcc: 0.3510, VaLoss:  2.56686
 47,  0 | TrAcc: 0.4485, TrLoss:  1.78593, VaAcc: 0.3489, VaLoss:  2.56720
 48,  0 | TrAcc: 0.4505, TrLoss:  1.79221, VaAcc: 0.3510, VaLoss:  2.56587
 49,  0 | TrAcc: 0.4533, TrLoss:  1.78685, VaAcc: 0.3558, VaLoss:  2.56243
 50,  0 | TrAcc: 0.4494, TrLoss:  1.78107, VaAcc: 0.3581, VaLoss:  2.57365
 51,  0 | TrAcc: 0.4577, TrLoss:  1.76921, VaAcc: 0.3611, VaLoss:  2.56179
 52,  0 | TrAcc: 0.4571, TrLoss:  1.78516, VaAcc: 0.3506, VaLoss:  2.55992
 53,  0 | TrAcc: 0.4611, TrLoss:  1.75036, VaAcc: 0.3583, VaLoss:  2.54874
 54,  0 | TrAcc: 0.4636, TrLoss:  1.75348, VaAcc: 0.3545, VaLoss:  2.56267
 55,  0 | TrAcc: 0.4608, TrLoss:  1.74029, VaAcc: 0.3609, VaLoss:  2.56261
 56,  0 | TrAcc: 0.4634, TrLoss:  1.75325, VaAcc: 0.3633, VaLoss:  2.56550
 57,  0 | TrAcc: 0.4646, TrLoss:  1.75737, VaAcc: 0.3502, VaLoss:  2.59685
 58,  0 | TrAcc: 0.4607, TrLoss:  1.75923, VaAcc: 0.3579, VaLoss:  2.57004
 59,  0 | TrAcc: 0.4613, TrLoss:  1.74387, VaAcc: 0.3568, VaLoss:  2.56159
 60,  0 | TrAcc: 0.4602, TrLoss:  1.74860, VaAcc: 0.3463, VaLoss:  2.57658
 61,  0 | TrAcc: 0.4602, TrLoss:  1.76313, VaAcc: 0.3577, VaLoss:  2.55608
 62,  0 | TrAcc: 0.4690, TrLoss:  1.74588, VaAcc: 0.3573, VaLoss:  2.55639
 63,  0 | TrAcc: 0.4652, TrLoss:  1.74301, VaAcc: 0.3519, VaLoss:  2.56595
 64,  0 | TrAcc: 0.4651, TrLoss:  1.75835, VaAcc: 0.3678, VaLoss:  2.56363
 65,  0 | TrAcc: 0.4636, TrLoss:  1.74575, VaAcc: 0.3683, VaLoss:  2.56287
 66,  0 | TrAcc: 0.4611, TrLoss:  1.74715, VaAcc: 0.3568, VaLoss:  2.56755
